epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7075,4.54198,8.49822,3.4169,0.01306,0.00681,0.00355,0.00078,4.04372,4.16587,2.48768,0.00055324,0.00055324,0.00055324
2,103.56,4.06237,4.55742,2.14783,0.02944,0.0581,0.0119,0.00403,3.62453,4.14726,1.97452,0.00108695,0.00108695,0.00108695
3,155.951,3.86975,3.95305,1.91331,0.08425,0.09557,0.02632,0.00686,3.42949,3.67963,1.8028,0.00159866,0.00159866,0.00159866
4,209.939,3.75473,3.50512,1.72583,0.129,0.08537,0.03555,0.00998,3.3236,2.79923,1.56709,0.00156798,0.00156798,0.00156798
5,280.647,3.71176,3.32665,1.65568,0.1737,0.09157,0.04787,0.01277,3.28269,2.8121,1.53785,0.00153497,0.00153497,0.00153497
6,333.189,3.65265,3.30442,1.64936,0.11561,0.10541,0.04483,0.01387,3.11473,2.67932,1.50861,0.00150197,0.00150197,0.00150197
7,376.248,3.57576,3.17581,1.59077,0.16666,0.14191,0.06624,0.01814,3.03847,2.57996,1.45499,0.00146896,0.00146896,0.00146896
8,419.635,3.58875,3.12136,1.54086,0.14914,0.11649,0.05875,0.01717,3.03473,2.63035,1.45339,0.00143595,0.00143595,0.00143595
9,463.515,3.54452,3.02743,1.54344,0.20572,0.1352,0.07389,0.02195,3.03893,2.6192,1.51283,0.00140295,0.00140295,0.00140295
10,507.602,3.51652,3.04005,1.53334,0.18612,0.15514,0.07591,0.02162,3.03081,2.54852,1.41905,0.00136994,0.00136994,0.00136994
11,551.46,3.50072,3.01157,1.50924,0.25089,0.13499,0.0994,0.02826,2.95973,2.45312,1.37174,0.00133693,0.00133693,0.00133693
12,596.843,3.47194,2.97981,1.50493,0.14958,0.19167,0.05927,0.01745,3.07625,4.12223,1.41976,0.00130393,0.00130393,0.00130393
13,640.85,3.477,2.97529,1.49634,0.20845,0.17093,0.08875,0.02712,2.90164,2.42726,1.38623,0.00127092,0.00127092,0.00127092
14,684.425,3.44062,2.93936,1.51189,0.22454,0.17207,0.10115,0.0304,2.88864,2.41434,1.4062,0.00123791,0.00123791,0.00123791
15,738.099,3.42395,2.9299,1.48729,0.22898,0.17115,0.10553,0.03182,2.91296,2.41135,1.3797,0.00120491,0.00120491,0.00120491
16,791.508,3.38971,2.88076,1.48491,0.25138,0.20707,0.12392,0.0369,2.76577,2.40922,1.36568,0.0011719,0.0011719,0.0011719
17,835.805,3.41424,2.88916,1.48403,0.21764,0.18941,0.09665,0.03013,2.93284,2.4004,1.39092,0.00113889,0.00113889,0.00113889
18,889.504,3.40765,2.82801,1.45816,0.20933,0.22122,0.11427,0.03304,2.893,2.39124,1.3277,0.00110589,0.00110589,0.00110589
19,934.096,3.40386,2.82659,1.46667,0.23219,0.19242,0.11425,0.03525,2.7471,2.2843,1.37976,0.00107288,0.00107288,0.00107288
20,1003.65,3.36275,2.81254,1.46035,0.25726,0.21473,0.13895,0.04097,2.79607,2.26898,1.34626,0.00103987,0.00103987,0.00103987
21,1048.15,3.34432,2.74901,1.44127,0.24548,0.23777,0.13664,0.03987,2.7619,2.2598,1.32876,0.00100687,0.00100687,0.00100687
